PT_ID,SCHOOL,ZONE,CLUSTER,GROUP_ID,latitude,longitude,LEVEL,ENROLMENT,2023_OSO,OSO_pct,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,special,mothertongue1_code,mothertongue2_code,mothertongue3_code,HMSP_Tier,HMSP_Score
31,SENGKANG GREEN PRIMARY SCHOOL,EAST,E3,3,1.39288245,103.8748036,PRIMARY,1674,160,0.09557945,SENG KANG,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,D,0.333333333
32,SPRINGDALE PRIMARY SCHOOL,EAST,E3,3,1.39500145,103.8897759,PRIMARY,1633,171,0.104715248,SENG KANG,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,E,0.142857143
33,SPRINGFIELD SECONDARY SCHOOL,EAST,E3,3,1.34999395,103.9299857,SECONDARY,810,101,0.124691358,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,No,Chinese,Malay,na,C,0.625
34,YUMIN PRIMARY SCHOOL,EAST,E3,3,1.3512643,103.9508735,PRIMARY,1127,152,0.13487134,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,B,0.833333333
35,ANGLICAN HIGH SCHOOL,EAST,E4,4,1.33021825,103.9417594,SECONDARY,1284,63,0.049065421,BEDOK,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,Yes,Yes,No,No,Yes,Chinese,na,na,D,0.4
36,CHANGKAT CHANGI SECONDARY SCHOOL,EAST,E4,4,1.3404936,103.9529718,SECONDARY,905,160,0.17679558,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,No,Chinese,Malay,Tamil,D,0.444444444
37,CHANGKAT PRIMARY SCHOOL,EAST,E4,4,1.33982335,103.9522753,PRIMARY,1040,106,0.101923077,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,E,0.2
38,CHUNG CHENG HIGH (MAIN) SCHOOL,EAST,E4,4,1.3053551,103.8917708,SECONDARY,1286,91,0.070762053,MARINE PARADE,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,Yes,Yes,No,No,Yes,Chinese,na,na,E,0.2
39,DAMAI PRIMARY SCHOOL,EAST,E4,4,1.3354514,103.9213901,PRIMARY,978,120,0.122699387,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,D,0.25
40,DAMAI SECONDARY SCHOOL,EAST,E4,4,1.337598,103.9268202,SECONDARY,633,113,0.178515008,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,No,Chinese,Malay,Tamil,E,0.166666667
41,DUNMAN HIGH SCHOOL,EAST,E4,4,1.2994032,103.882215,SECONDARY,1220,75,0.06147541,KALLANG,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,MIXED LEVELS,Yes,Yes,Yes,Yes,Yes,Chinese,na,na,E,0.111111111
42,KONG HWA SCHOOL,EAST,E4,4,1.3111918,103.8878575,PRIMARY,1628,148,0.090909091,GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,No,No,Yes,Chinese,na,na,E,0.125
43,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,EAST,E4,4,1.3349316,103.9408662,PRIMARY,1219,115,0.094339623,BEDOK,EAST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,C,0.666666667
44,ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL,EAST,E4,4,1.334946,103.9423636,SECONDARY,1037,114,0.109932498,BEDOK,EAST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Yes,Chinese,Malay,Tamil,C,0.5
45,TELOK KURAU PRIMARY SCHOOL,EAST,E4,4,1.3308798,103.9113156,PRIMARY,1591,221,0.138906348,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,D,0.428571429
46,BROADRICK SECONDARY SCHOOL,EAST,E5,5,1.30726495,103.8868866,SECONDARY,999,155,0.155155155,GEYLANG,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,No,Chinese,Malay,Tamil,D,0.333333333
47,CANOSSA CATHOLIC PRIMARY SCHOOL,EAST,E5,5,1.3265886,103.8817147,PRIMARY,756,75,0.099206349,GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,D,0.25
48,GEYLANG METHODIST SCHOOL (PRI),EAST,E5,5,1.3182,103.8838,PRIMARY,1668,241,0.144484412,GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,D,0.375
49,GEYLANG METHODIST SCHOOL (SEC),EAST,E5,5,1.31760385,103.8832512,SECONDARY,1099,144,0.131028207,GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,No,Chinese,Malay,Tamil,B,0.857142857
50,HAIG GIRLS' SCHOOL,EAST,E5,5,1.31187845,103.9025669,PRIMARY,1136,113,0.099471831,GEYLANG,EAST,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,D,0.444444444
51,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRI),EAST,E5,5,1.34993195,103.8849238,PRIMARY,1659,119,0.071729958,HOUGANG,EAST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,E,0.2
52,PAYA LEBAR METHODIST GIRLS' SCHOOL (SEC),EAST,E5,5,1.351416924,103.8848579,SECONDARY,1277,154,0.120595145,HOUGANG,EAST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Yes,Chinese,Malay,Tamil,D,0.3
53,TANJONG KATONG GIRLS' SCHOOL,EAST,E5,5,1.309094441,103.8962217,SECONDARY,976,118,0.120901639,MARINE PARADE,EAST,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Yes,Chinese,Malay,Tamil,C,0.666666667
