PT_ID,SCHOOL,ZONE,CLUSTER,GROUP_ID,PRI,SEC,n_STALLS,n_PASS,TIER_SCORE,TIER,latitude,longitude
86,ROSYTH SCHOOL,NORTH,N1,8,1,0,10,2,0.272727273,D,1.3728695,103.8745093
87,SENG KANG PRIMARY SCHOOL,NORTH,N1,8,1,0,7,3,0.428571429,D,1.3894052,103.8993262
88,SENG KANG SECONDARY SCHOOL,NORTH,N1,8,0,1,8,3,0.375,D,1.3864773,103.8986809
89,XINMIN PRIMARY SCHOOL,NORTH,N1,8,1,0,7,3,0.428571429,D,1.3714019,103.8831786
90,XINMIN SECONDARY SCHOOL,NORTH,N1,8,0,1,7,2,0.285714286,D,1.3725582,103.8829282
91,AHMAD IBRAHIM PRIMARY SCHOOL,NORTH,N2,9,1,0,6,1,0.166666667,E,1.4338487,103.8327098
92,CHONGFU SCHOOL,NORTH,N2,9,1,0,8,5,0.75,B,1.4387276,103.8392901
93,CHUNG CHENG HIGH (YISHUN) SCHOOL,NORTH,N2,9,0,1,8,3,0.125,E,1.41910045,103.8372873
94,ENDEAVOUR PRIMARY SCHOOL,NORTH,N2,9,1,0,8,4,0.5,C,1.45442995,103.8175792
95,JIEMIN PRIMARY SCHOOL,NORTH,N2,9,1,0,6,3,0.5,C,1.427356086,103.8304094
96,NAVAL BASE SECONDARY SCHOOL,NORTH,N2,9,0,1,8,5,0.625,C,1.4192307,103.8309876
97,NORTHLAND PRIMARY SCHOOL,NORTH,N2,9,1,0,7,4,0.714285714,C,1.4212034,103.840584
98,NORTHLAND SECONDARY SCHOOL,NORTH,N2,9,0,1,8,7,0.875,B,1.43571045,103.8407195
99,NORTHOAKS PRIMARY SCHOOL,NORTH,N2,9,1,0,5,1,0.142857143,E,1.4569506,103.8135393
100,SINGAPORE CHINESE GIRLS' SCHOOL (PRI),NORTH,N2,9,1,0,11,3,0.272727273,D,1.32107125,103.8275742
101,SINGAPORE CHINESE GIRLS' SCHOOL (SEC),NORTH,N2,9,0,1,11,3,0.272727273,D,1.32107125,103.8275742
102,XISHAN PRIMARY SCHOOL,NORTH,N2,9,1,0,8,3,0.375,D,1.43343,103.8377866
103,YISHUN SECONDARY SCHOOL,NORTH,N2,9,0,1,5,0,0,E,1.42793975,103.8290283
104,YISHUN TOWN SECONDARY SCHOOL,NORTH,N2,9,0,1,5,0,0,E,1.43266455,103.8378851
105,ANCHOR GREEN PRIMARY SCHOOL,NORTH,N3,10,1,0,8,1,0.125,E,1.3903798,103.8873538
106,ANDERSON SECONDARY SCHOOL,NORTH,N3,10,0,1,11,10,1,A,1.37541705,103.8517227
107,CATHOLIC HIGH SCHOOL (PRI),NORTH,N3,10,1,0,5,4,0.8,B,1.35481825,103.8450016
108,CATHOLIC HIGH SCHOOL (SEC),NORTH,N3,10,0,1,11,6,0.545454545,C,1.35481825,103.8450016
109,COMPASSVALE PRIMARY SCHOOL,NORTH,N3,10,1,0,8,2,0.25,D,1.39418,103.897901
110,COMPASSVALE SECONDARY SCHOOL,NORTH,N3,10,0,1,9,5,0.666666667,C,1.39675715,103.9001974
111,EDGEFIELD PRIMARY SCHOOL,NORTH,N3,10,1,0,7,2,0.285714286,D,1.40035115,103.907493
112,EDGEFIELD SECONDARY SCHOOL,NORTH,N3,10,0,1,9,1,0.222222222,E,1.40019645,103.9023095
113,FERNVALE PRIMARY SCHOOL,NORTH,N3,10,1,0,8,3,0.375,D,1.38997975,103.8740776
114,HOUGANG PRIMARY SCHOOL,NORTH,N3,10,1,0,5,1,0.4,D,1.3783581,103.881072
115,HOUGANG SECONDARY SCHOOL,NORTH,N3,10,0,1,8,1,0.125,E,1.37776255,103.8824589
116,PEI HWA SECONDARY SCHOOL,NORTH,N3,10,0,1,10,4,0.4,D,1.39075955,103.878184
117,SERANGOON SECONDARY SCHOOL,NORTH,N3,10,0,1,9,3,0.333333333,D,1.3749592,103.9020458
118,YIO CHU KANG PRIMARY SCHOOL,NORTH,N3,10,1,0,6,1,0.166666667,E,1.37791475,103.8854613
119,GREENDALE PRIMARY SCHOOL,NORTH,N4,11,1,0,9,1,0.111111111,E,1.3961911,103.9126887
